Country,,Country,Medal_Two_Prior,Event,Medal_One_Prior,Medal_Hosted,Medal_One_Next,Medal_Two_Next
Canada,74323902,Canada,No Medal,"Equestrianism Mixed Dressage, Team",No Medal,No Medal,No Medal,Bronze
Canada,74319233,Canada,No Medal,Swimming Women's 4 x 100 metres Medley Relay,No Medal,Bronze,Bronze,Bronze
Canada,74313113,Canada,No Medal,Swimming Men's 100 metres Butterfly,Silver,No Medal,No Medal,No Medal
Canada,7117,Canada,Silver,Swimming Men's 400 metres Freestyle,No Medal,No Medal,No Medal,No Medal
Canada,7118,Canada,Gold,"Equestrianism Mixed Jumping, Team",No Medal,No Medal,No Medal,No Medal
Canada,74323506,Canada,No Medal,"Cycling Men's Road Race, Individual",No Medal,No Medal,Silver,No Medal
Canada,74323510,Canada,No Medal,Boxing Men's Light-Middleweight,No Medal,No Medal,Silver,Bronze
Canada,74323515,Canada,No Medal,Swimming Men's 400 metres Individual Medley,No Medal,No Medal,Gold,No Medal
Canada,74323505,Canada,No Medal,Rowing Women's Coxed Fours,No Medal,No Medal,Silver,No Medal
Canada,74323501,Canada,No Medal,Swimming Women's 100 metres Breaststroke,No Medal,No Medal,Silver,No Medal
Canada,74323497,Canada,No Medal,"Wrestling Men's Super-Heavyweight, Freestyle",No Medal,No Medal,Silver,No Medal
Canada,74323525,Canada,No Medal,Swimming Men's 100 metres Backstroke,No Medal,No Medal,Bronze,No Medal
Canada,74319232,Canada,No Medal,Swimming Women's 400 metres Freestyle,No Medal,Bronze,No Medal,No Medal
Canada,74323504,Canada,No Medal,Rowing Women's Coxless Pairs,No Medal,No Medal,Silver,No Medal
Canada,74323520,Canada,No Medal,Rhythmic Gymnastics Women's Individual,No Medal,No Medal,Gold,No Medal
Canada,74323508,Canada,No Medal,"Canoeing Women's Kayak Doubles, 500 metres",No Medal,No Medal,Silver,No Medal
Canada,74323499,Canada,No Medal,Synchronized Swimming Women's Solo,No Medal,No Medal,Silver,Gold
Canada,74323511,Canada,No Medal,Boxing Men's Heavyweight,No Medal,No Medal,Silver,No Medal
